submission_id,problem_id,user_id,date,language,original_language,filename_ext,status,cpu_time,memory,code_size,accuracy
s116503310,p03574,u370793548,1601431139,C++,C++ (GCC 9.2.1),cpp,Wrong Answer,7,3596,3192,
s953238620,p03574,u257593072,1601422718,Java,Java (OpenJDK 11.0.6),java,Accepted,137,36372,1406,
s911464374,p03574,u308711469,1601422190,C++,C++ (GCC 9.2.1),cpp,Accepted,7,3592,1072,
s210059508,p03574,u555587832,1601411000,Python,Python (3.8.2),py,Accepted,123,27164,528,
s858568889,p03574,u555587832,1601410526,Python,Python (3.8.2),py,Runtime Error,121,27236,572,
s160972320,p03574,u555587832,1601410269,Python,Python (3.8.2),py,Runtime Error,117,27208,574,
s700311867,p03574,u555587832,1601410201,Python,Python (3.8.2),py,Runtime Error,119,27364,567,
s543784707,p03574,u555587832,1601409853,Python,Python (3.8.2),py,Runtime Error,120,27288,518,
s714575453,p03574,u130492706,1601408317,C++,C++ (GCC 9.2.1),cpp,Accepted,9,3620,758,
s040769972,p03574,u014139588,1601402166,Python,Python (3.8.2),py,Accepted,33,9248,587,
s287586382,p03574,u068142202,1601397579,Python,Python (3.8.2),py,Accepted,26,9208,585,
s967911107,p03574,u301302814,1601381494,C++,C++ (GCC 9.2.1),cpp,Accepted,12,3644,1008,
s150381964,p03574,u132602393,1601359021,C++,C++ (GCC 9.2.1),cpp,Accepted,7,3616,3782,
s846307069,p03574,u298972557,1601353270,C++,C++ (GCC 9.2.1),cpp,Accepted,6,3612,1275,
s209457693,p03574,u819160021,1601351351,C++,C++ (GCC 9.2.1),cpp,Accepted,10,3644,733,
s030534716,p03574,u054559808,1601347900,Python,PyPy3 (7.3.0),py,Accepted,68,68264,533,
s215031436,p03574,u068142202,1601312811,Python,Python (3.8.2),py,Runtime Error,28,9100,611,
s415298419,p03574,u363633589,1601265252,C,C (Clang 10.0.0),c,Accepted,7,2008,966,
s469254316,p03574,u020801333,1601227671,C++,C++ (GCC 9.2.1),cpp,Accepted,10,3608,1843,
s814558381,p03574,u020801333,1601227348,C++,C++ (GCC 9.2.1),cpp,Wrong Answer,11,3648,1843,
s848820680,p03574,u020801333,1601226948,C++,C++ (GCC 9.2.1),cpp,Wrong Answer,5,3628,1735,
s687706155,p03574,u403507179,1601223567,C++,C++ (GCC 9.2.1),cpp,Accepted,6,3600,779,
s550326546,p03574,u403507179,1601223014,C++,C++ (GCC 9.2.1),cpp,Runtime Error,116,3660,706,
s361563120,p03574,u403507179,1601222837,C++,C++ (GCC 9.2.1),cpp,Runtime Error,113,3668,700,
s700436136,p03574,u403507179,1601222796,C++,C++ (GCC 9.2.1),cpp,Compile Error,,,699,
s961084431,p03574,u848861682,1601221409,C++,C++ (GCC 9.2.1),cpp,Accepted,8,3660,1114,
s218583859,p03574,u732304692,1601215731,C++,C++ (GCC 9.2.1),cpp,Accepted,7,3576,487,
s198483074,p03574,u113835532,1601175324,Python,Python (3.8.2),py,Accepted,37,10260,820,
s955000505,p03574,u992189813,1601131320,Rust,Rust (1.42.0),rs,Accepted,9,2160,2528,
s593874737,p03574,u371958417,1601099589,C++,C++ (GCC 9.2.1),cpp,Accepted,7,3660,679,
s016387537,p03574,u412408615,1601077802,C++,C++ (GCC 9.2.1),cpp,Accepted,6,3636,877,
s217752665,p03574,u130651752,1601076688,C++,C++ (GCC 9.2.1),cpp,Accepted,7,3620,702,
s376175799,p03574,u863740510,1601076019,C++,C++ (GCC 9.2.1),cpp,Accepted,12,3604,728,
s479978438,p03574,u286422818,1601005401,Python,Python (3.8.2),py,Accepted,31,9132,565,
s325281407,p03574,u369067792,1600999338,C++,C++ (Clang 10.0.0),cpp,Accepted,11,3144,903,
s043208706,p03574,u010931653,1600998524,C++,C++ (GCC 9.2.1),cpp,Accepted,7,3576,600,
s962160891,p03574,u235391794,1600998188,C++,C++ (GCC 9.2.1),cpp,Accepted,7,3624,722,
s359441686,p03574,u956252692,1600994465,C++,C++ (GCC 9.2.1),cpp,Accepted,8,3568,2331,
s322053896,p03574,u204163177,1600986747,C++,C++ (GCC 9.2.1),cpp,Accepted,8,3604,802,
s926904884,p03574,u161835833,1600972136,Java,Java (OpenJDK 11.0.6),java,Accepted,145,36308,1763,
s994300836,p03574,u776311944,1600969470,Python,Python (3.8.2),py,Accepted,38,9176,527,
s827871432,p03574,u776311944,1600969434,Python,Python (3.8.2),py,Wrong Answer,35,9212,510,
s693898436,p03574,u776311944,1600969065,Python,Python (3.8.2),py,Wrong Answer,35,9272,489,
s749668415,p03574,u751717561,1600962795,Python,Python (3.8.2),py,Accepted,35,9412,577,
s959258271,p03574,u465652095,1600962199,Python,Python (3.8.2),py,Accepted,29,9288,1113,
s051111269,p03574,u333537444,1600952394,Python,PyPy3 (7.3.0),py,Accepted,72,68596,1022,
s155899848,p03574,u457950793,1600903991,C++,C++ (GCC 9.2.1),cpp,Accepted,6,3588,797,
s852978655,p03574,u887471870,1600897850,C++,C++ (GCC 9.2.1),cpp,Accepted,8,3632,617,
s333665452,p03574,u014139588,1600894880,Python,Python (3.8.2),py,Runtime Error,32,9300,1145,
s166742172,p03574,u972591645,1600881799,Python,Python (3.8.2),py,Accepted,40,9324,515,
s828742113,p03574,u887471870,1600878454,C++,C++ (GCC 9.2.1),cpp,Wrong Answer,7,3616,599,
s640935577,p03574,u887471870,1600878426,C++,C++ (GCC 9.2.1),cpp,Accepted,8,3648,617,
s124659198,p03574,u887471870,1600877759,C++,C++ (GCC 9.2.1),cpp,Compile Error,,,894,
s442003742,p03574,u536034761,1600858803,Python,Python (3.8.2),py,Accepted,34,9268,839,
s198871434,p03574,u752907799,1600839136,Java,Java (OpenJDK 11.0.6),java,Accepted,84,32656,2667,
s990797599,p03574,u791317953,1600834325,Java,Java (OpenJDK 11.0.6),java,Accepted,139,36280,1699,
s175730616,p03574,u791317953,1600833091,Java,Java (OpenJDK 11.0.6),java,Accepted,146,36324,1002,
s853114953,p03574,u791317953,1600833055,Java,Java (OpenJDK 11.0.6),java,Wrong Answer,141,36340,1652,
s296941142,p03574,u752774573,1600830605,Python,PyPy3 (7.3.0),py,Accepted,69,68892,403,
s514337604,p03574,u968404618,1600828655,Python,Python (3.8.2),py,Accepted,37,9132,600,
s331725907,p03574,u280175105,1600827868,C++,C++ (GCC 9.2.1),cpp,Accepted,7,3560,713,
s989239126,p03574,u831279508,1600827432,C++,C++ (GCC 9.2.1),cpp,Accepted,7,3604,763,
s371821103,p03574,u415325136,1600827141,C++,C++ (GCC 9.2.1),cpp,Accepted,7,3664,934,
s852580169,p03574,u242031676,1600826037,C++,C++ (GCC 9.2.1),cpp,Accepted,9,3648,546,
s914279646,p03574,u886613668,1600825984,C++,C++ (GCC 9.2.1),cpp,Accepted,7,3632,686,
s407740188,p03574,u242031676,1600825918,C++,C++ (GCC 9.2.1),cpp,Wrong Answer,7,3800,544,
s985531207,p03574,u886613668,1600825852,C++,C++ (GCC 9.2.1),cpp,Accepted,7,3636,686,
s086715896,p03574,u971811058,1600825763,C++,C++ (GCC 9.2.1),cpp,Accepted,6,3628,1363,
s592690036,p03574,u489959379,1600825730,Rust,Rust (1.42.0),rs,Accepted,9,2164,1597,
s167524353,p03574,u246366098,1600825582,Python,Python (3.8.2),py,Accepted,30,9268,794,
