problem_id	solution_id	invariant_index	desc_index	first_correct_test	first_incorrect_test	coverage
p03157	s178008392			-1	2	-1
p02606	s742370030	0	0	0	-1	-1
p00453	s944854384			2	0	-1
p03294	s179825650	0	0	0	-1	-1
p03495	s764284087	1	0	1	4	-1
p03165	s082465323	1		0	-1	-1
p02923	s589586071			1	0	-1
p00292	s460303360	0	0	0	2	-1
p03434	s145526147	0	0	0	1	-1
p03837	s531304821	1		0	2	-1
p03835	s360187084	0	0	0	2	-1
p01891	s128243585	2	0	0	2	-1
p02573	s331426175	0	0	1	0	-1
p03696	s927612253	1	2	3	0	-1
p00219	s011842122	1		-1	0	-1
p02060	s295418950	1	1	3	0	-1
p03625	s967239246	0		0	1	-1
p00079	s179696629	2		1	0	-1
p00184	s578748709			-1	0	-1
p00183	s981533407	1	0	-1	0	-1
p02759	s137982541	0	1	0	-1	-1
p02608	s720744444	0	0	9	0	-1
p02275	s774690564	1		0	-1	-1
p02708	s102202257		2	2	0	-1
p00044	s339331993			0	-1	-1
p04011	s915562882		1	0	1	-1
p00935	s980549298	0	0	1	0	-1
p00101	s126238982	0	0	0	-1	-1
p03171	s312205517	0	1	1	0	-1
p00126	s784528699			-1	0	-1
p03186	s977467547	0	0	0	1	-1
p01102	s967669913	1		-1	0	-1
p00507	s368776219			-1	0	-1
p00532	s139707672			-1	0	-1
p03403	s945213112	2		8	0	-1
p00227	s076863249	0	0	3	0	-1
p02248	s886592565	2		2	0	-1
p02960	s714546052	0	0	7	0	-1
p02934	s137396000			-1	0	-1
p02675	s618257761	0		0	-1	-1
p02415	s391168636	0	0	0	-1	-1
p00553	s981335837	0		1	0	-1
p00423	s063620021			-1	0	-1
p03433	s130058854	0	0	0	-1	-1
p00537	s545972340			-1	0	-1
p00053	s230770223	0		1	0	-1
p00198	s037350979			3	5	-1
p00492	s741146325			-1	0	-1
p03455	s340436007	0	0	0	-1	-1
p00712	s849225147			2	0	-1
p02936	s322513709	1	1	0	1	-1
p03447	s070238718	0	1	0	-1	-1
p00534	s094469517	0	0	3	0	-1
p03438	s958372389	0		0	2	-1
p03636	s254430198	0	1	0	-1	-1
p02916	s663571609			0	1	-1
p02819	s386676895	0	2	0	-1	-1
p02267	s174838863	0		5	0	-1
p03592	s743890028	0	1	0	5	-1
p03574	s357771439	1		-1	1	-1
p04045	s091640306	0	0	0	6	-1
p00412	s196948278	2		0	-1	-1
p01522	s387531651	2	0	-1	0	-1
p00692	s714343966			4	-1	-1
p01719	s152398727			-1	0	-1
p03605	s521200176	0	0	0	-1	-1
p02256	s677531396	0	1	0	-1	-1
p02685	s034059170			-1	0	-1
p02605	s689124470			3	0	-1
p00676	s843871120	0	2	-1	0	-1
p00914	s603051027	0	0	1	0	-1
p03972	s388398834			-1	0	-1
p00232	s289134351			-1	0	-1
p02661	s113036995	0	0	1	0	-1
p00143	s173553216			0	1	-1
p02842	s804616244	0		0	-1	-1
p03318	s884164360			0	2	-1
p03645	s768510942	1	0	0	4	-1
p01712	s566683426	1		1	0	-1
p02760	s602638874	1		6	0	-1
p03860	s571365884	0	0	2	0	-1
p02768	s870001871			1	0	-1
p00794	s153856086			-1	0	-1
p03170	s826231777	0	2	1	0	-1
p00015	s515609816	0		0	1	-1
p00494	s750375138	0	0	2	0	-1
p02719	s397432215	2	0	0	-1	-1
p03739	s127788803	0	2	0	1	-1
p02237	s822378102	0		2	3	-1
p00803	s404975334	0	0	4	0	-1
p03284	s694565911	0	2	0	-1	-1
p03502	s501295735	0		0	1	-1
p02652	s331390455			0	1	-1
p01049	s785699430			0	3	-1
p00226	s093705858	0	0	0	1	-1
p03356	s783216663	2		-1	0	-1
p03711	s404311419	0	2	0	-1	-1
p02847	s681832705	0		0	-1	-1
p04034	s196776758		0	0	1	-1
p02891	s523709381			5	0	-1
p02901	s628654804			6	1	-1
p00428	s169068993	0	0	0	5	-1
p00275	s793127187			-1	2	-1
p01898	s356250075			-1	0	-1
p03909	s436169141	1	0	1	0	-1
p03132	s891909530			1	0	-1
p00063	s685640764	0	0	1	0	-1
p02616	s917163841	0	0	1	0	-1
p00734	s681207442		0	-1	0	-1
p02617	s317112518			2	0	-1
