p00846,s754188909
p00855,s014732661
p02450,s847572838
p03406,s299434264
p02328,s891749144
p02727,s564848595
p02988,s729987898
p00435,s418222310
p02305,s108329483
p00653,s033682913
p03626,s777814132
p00924,s107121972
p03194,s969718626
p02430,s963835087
p03296,s911688543
p02703,s928306552
p03478,s988535080
p03901,s031826408
p02369,s345149979
p02256,s567591471
p02347,s394952376
p00378,s673750299
p02644,s701218583
p03845,s264065722
p00799,s995278111
p00156,s377349703
p00866,s671422703
p02279,s791127858
p00450,s362779358
p03043,s672569863
p02831,s897546369
p00074,s116226226
p00543,s553433110
p03053,s554990388
p01600,s144711670
p01570,s977730947
p02166,s902524034
p00108,s307028896
p02297,s733861761
p01184,s507959431
p03977,s439056991
p02761,s123422574
p00056,s738516458
p02190,s487252845
p03701,s462966287
p00261,s702746778
p02743,s970148302
p00874,s714615924
p00649,s499257925
p00329,s126912713
p03206,s595363917
p00641,s714111875
p02444,s922556371
p03317,s080937042
p02959,s884421930
p00856,s413597145
p00203,s149402218
p01128,s684164776
p04030,s676175039
p01288,s689364916
p03473,s484406128
p00514,s123310428
p02945,s839571684
p02762,s406248634
p03034,s213015916
p00740,s618373830
p02734,s995260268
p00571,s731090944
p03454,s875027487
p01150,s637712701
p00317,s324459900
p00208,s698109936
p02277,s391452840
p02585,s664796351
p00023,s078538252
p02396,s479881002
p04020,s124738959
p03646,s077306855
p03213,s168241927
p03736,s187242823
p01725,s841195800
p00010,s616212541
p00519,s184459529
p04013,s286774644
p03408,s104586585
p00124,s609878000
p01545,s921980217
p02205,s584155050
p02153,s883668479
p02951,s155966002
p00465,s032767320
p03106,s075471009
p03414,s833172214
p03183,s405285331
p02412,s091211494
p02837,s107184422
p03074,s091106183
p01841,s583951253
p03123,s140612116
p00187,s333255083
p00013,s474486010
p00105,s751844233
p01353,s505187468
p03865,s868434253
p03268,s784749028
p02957,s162130163
p02639,s684497289
p00534,s687435130
p01125,s692411463
p00837,s695156462
p03216,s456975562
p03762,s352003996
p02733,s115758389
p03218,s825699603
p00629,s322632797
p01471,s062749348
p00762,s426437174
p03996,s452031577
p03361,s771136971
p00507,s150827998
p03932,s325361956
p03929,s102491619
p03164,s324601225
p02114,s214031545
p00256,s810574963
p02617,s967407951
p00146,s837369903
p00137,s958279292
p01138,s032184304
p00492,s842410695
p01368,s259938050
p01847,s062317478
p02783,s164123466
p03209,s567295801
p02333,s083914592
p00820,s060858339
p03142,s563966029
p01768,s856685604
p01767,s517709464
p03914,s578345200
p00190,s694768662
p02317,s943413300
p03064,s204154822
p02371,s148735144
p03719,s898968369
p00811,s645202675
p02045,s664760495
p03007,s015326565
p03608,s071286703
p02035,s741239259
p02457,s412638071
p00554,s526670252
p04024,s323084503
p00004,s002492070
p03592,s360581070
p00692,s485463885
p03632,s847962222
p03173,s892835852
p01106,s167810204
p01656,s291185717
p02162,s070446630
p02584,s216752805
p03647,s880670483
p01050,s647867524
p02266,s988477465
p03838,s144722256
p02353,s047730541
p03145,s372266680
p03448,s438110910
p01601,s827520189
p00468,s244587925
p00907,s235316349
p02953,s936149418
p01907,s589855209
p00594,s706359289
p00320,s915457866
p02104,s162068342
p02731,s309888442
p00015,s182112775
p03817,s714501710
p00024,s328791166
p02242,s540902193
p03311,s527508870
p02449,s036793146
p00118,s998810592
p03815,s703999751
p02061,s336945169
p03277,s194283813
p00167,s533423109
p03369,s134958872
p01521,s974253023
p02678,s506434718
p03365,s761076961
p02618,s816359112
p02433,s293755511
p00723,s733647808
p03951,s306845370
p01065,s985142020
p00690,s859821803
p02846,s484118030
p03108,s284975585
p03463,s010192935
p01316,s297873173
p00792,s293932614
p00077,s210087372
p00816,s686238234
p03318,s097355526
p01668,s752059729
p00971,s622210708
p00080,s665034989
p02249,s255548244
p03568,s375371461
p03029,s773120973
p01917,s784226984
p03105,s815254803
p03055,s123571829
p03722,s250520215
p00283,s081131268
p02370,s317868193
p02862,s401993341
p03808,s578407021
p02885,s328148853
p00336,s595413032
p02276,s234353251
p02728,s444766000
p00655,s726803740
p01119,s795481102
p00271,s276738132
p03544,s689318306
p03562,s031605597
p00428,s668772531
p03080,s213509023
p00071,s211293533
p03797,s806151134
p02038,s624841412
p01275,s979476593
p00479,s051742316
p01317,s006353132
p00136,s219230205
p01452,s471476545
p02418,s006933380
p01339,s625856414
p03051,s824966392
p02647,s105166692
p02812,s400831833
p00244,s473389136
p00252,s762907933
p00315,s977609136
p03003,s902280952
p01529,s530492428
p00889,s220934181
p01153,s420514019
p02393,s730377019
p01658,s773448573
p03837,s957862287
p00749,s344126314
p01916,s370002653
p03435,s480362316
p00518,s914906870
p00870,s580108339
p00495,s880534817
p02340,s846427003
p04005,s359258149
p00949,s214230660
p00445,s945311234
p01255,s700524496
p02056,s529226180
p00288,s927961714
p00658,s807136463
p01782,s061032302
p00270,s564167440
p00680,s264256608
p02956,s031703949
p02840,s240749233
p00867,s333068212
p03278,s764401804
p00897,s841613173
p02562,s854703932
p03115,s696781003
p01459,s741867686
p00528,s823304640
p02186,s230233687
p03709,s856069795
p02668,s581863319
p04022,s661383493
p02542,s062589947
p02923,s169844205
p02884,s699656484
p03766,s864522160
p03157,s308974912
p03899,s293571020
p00453,s471067879
p03434,s443828317
p02046,s544371724
p03165,s535899680
p00292,s114465961
p03495,s880399908
p03294,s100205294
p02355,s530162504
p02606,s114921111
